name,description,price,image,image,image,image
Антуриум,Род антуриум (Anthurium) – самый многочисленный род семейства Ароидных (Araceae). Латинское название рода произошло от древнегреческих слов «цветок» и «хвост».,От 300,images/Anthurium/001.jpg,images/Anthurium/002.jpg,images/Anthurium/003.jpg,
Кротон,"Растение кротон (лат. Croton), оно жекодиеум (лат. Codiaeum) или «плащ Иосифа», относится к роду семейства Молочайные. Что означает название «кротон», которое пришлось по душе садоводам больше, чем научное «кодиеум», в переводе с греческого означающее «голова», никто точно не знает. Может, это имя произошло от названия города в южной Италии, в котором когда-то Пифагор основал свою школу, а может, на каком-то наречии это слово означает «кустарник»… Родиной дикорастущих кротонов являются острова Тихого океана и Северной Австралии, Индия, а также Юго-Восточная Азия. Количество видов в роду разные источники насчитывают от 17 до 1200, но в комнатной культуре цветы кротон представлены только кротоном пестрым и его гибридами. Цветок кротон – один из самых красивых декоративно-лиственных комнатных растений, который служит прекрасным украшением интерьера и, как правило, не занимает слишком много места. В некоторых странах комнатное растение кротон считается хранителем домашнего очага, защищающим дом от плохой энергетики.",От 295,images/Croton/001.jpg,images/Croton/002.jpg,images/Croton/003.jpg,
Драцена,"Драце́на — род растений семейства Спаржевые, деревья или суккулентные кустарники. Число видов, по разным данным, от сорока до ста пятидесяти. Большинство видов произрастает в Африке, несколько — в южной Азии и один — в тропиках Центральной Америки.",От 400,images/Dracaena/001.jpg,images/Dracaena/002.jpg,images/Dracaena/003.jpg,images/Dracaena/004.jpg
Эпипремнум,"Эпипремнум — род многолетних травянистых лиан семейства Ароидные. Насчитывается, по разным данным, от 8 до 30 видов. Эпипремнум золотистый — популярное комнатное растение, которое ценится за декоративность своих блестящих пёстрых листьев.",От 880,images/Epipremnum/001.jpg,images/Epipremnum/002.jpg,,
Фикус Бенджамина,"Фи́кус Бе́нджамина — вид растений из рода Фикус семейства Тутовые. Вечнозеленое дерево или кустарник, в дикой природе вырастает до 25 м в высоту. Распространён в Индии, Китае, Юго-Восточной Азии, на Филиппинах, на севере Австралии",От 1420,images/Ficus_Benjamin/001.jpg,images/Ficus_Benjamin/002.jpg,images/Ficus_Benjamin/003.jpg,images/Ficus_Benjamin/004.jpg
Фикус Рабуста,Фикус Робуста / Ficus Robusta - один из самых первых и распространенных сортов Фикуса каучуконосного эластика,От 1120,images/Ficus_Rabusta/001.jpg,,,
Финиковая пальма,"Фи́никовая па́льма, также Фе́никс, Фи́ник — род растений семейства Пальмовые. Род включает от 14 до 17 видов пальм из Африки и Евразии.",От 650,images/Finikoavaya_Palma/001.jpg,images/Finikoavaya_Palma/002.jpg,,
Монстера,"Монсте́ра — крупные тропические растения, лианы; род семейства Ароидные.",От 1200,images/Monstera/001.jpg,,,
Пальма Арека,"Аре́ка — род растений семейства Пальмовые, типовой род этого семейства.",От 820,images/Palma_Areca/001.jpg,images/Palma_Areca/002.jpg,images/Palma_Areca/003.jpg,
Сансеверия,"Сансевие́рия — род семейства Спаржевые; включает около 66 видов бесстеблевых вечнозелёных многолетников из сухих, каменистых регионов в тропической и субтропической Африке, Мадагаскаре, Индии, Индонезии и Южной Флориды",От 450,images/Sansevieriya/001.jpg,images/Sansevieriya/002.jpg,,
Шнфлера,Ше́ффле́ра,От 450,images/Scheffler/001.jpg,images/Scheffler/002.jpg,,
Спатифиллум,"Спатифи́ллум, или Спатифиллюм — род многолетних вечнозелёных растений семейства Ароидные, некоторые представители — популярные комнатные растени",От 210,images/Spathiphyllum/001.jpg,images/Spathiphyllum/002.jpg,images/Spathiphyllum/003.jpg,images/Spathiphyllum/004.jpg
Зомиакулькас,"Замиоку́лькас — монотипный род растений семейства Ароидные, представленный единственным видом замиокулькас замиели́стный, происходящим из тропической Африки. Название получил из-за схожести листьев с листьями замии. ",От 420,images/Zamioculcas/001.jpg,images/Zamioculcas/002.jpg,,
Flores Fantastica,"Волшебный цветок из неведомых далей галактики. Попадался только самым отчаянным космогаторам, не знающим страха перед опасностями неизведанных областей",Дог.,http://www.sunhome.ru/UsersGallery/Cards/prazdnik_den_zemli_kartinka.jpg,,,
